,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neurons,param_n_hidden,param_learning_rate,param_dropout,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,443.297069978714,70.28755854508083,1.0835892677307128,0.07391974966357143,200,2,0.0003,0.8,"{'n_neurons': 200, 'n_hidden': 2, 'learning_rate': 0.0003, 'dropout': 0.8}",0.6951765063344265,0.6907774547205375,0.6896406735429486,0.700965366731326,0.6876894442067862,0.692849889107205,0.004743382025196341,1
5,241.73347907066346,16.90484579619065,1.1032421588897705,0.0746896353097814,100,4,0.0003,0.4,"{'n_neurons': 100, 'n_hidden': 4, 'learning_rate': 0.0003, 'dropout': 0.4}",0.6953079893633369,0.6885923370308575,0.6838138093066484,0.6990973440716042,0.6920598392970436,0.6917742638138982,0.005285636538597002,2
11,299.50191822052,34.64542792413876,0.9106237888336182,0.020666250273375594,100,2,0.0003,0.8,"{'n_neurons': 100, 'n_hidden': 2, 'learning_rate': 0.0003, 'dropout': 0.8}",0.6916357894651423,0.6890453600000851,0.6876846309049552,0.7015645542259609,0.6888481245918967,0.691755691837608,0.005071519318858234,3
6,282.11519174575807,61.11298792612503,0.9199337482452392,0.020194860915360185,100,2,3e-05,0.2,"{'n_neurons': 100, 'n_hidden': 2, 'learning_rate': 3e-05, 'dropout': 0.2}",0.693347809368347,0.6926950534878409,0.6838892277641694,0.6971835320911557,0.6868719442907224,0.6907975134004471,0.004775361889801816,4
1,49.14471745491028,3.8290717399040526,1.0017240047454834,0.05149401741385734,100,2,0.003,0.2,"{'n_neurons': 100, 'n_hidden': 2, 'learning_rate': 0.003, 'dropout': 0.2}",0.695488766293592,0.6903530311175697,0.6883759133152044,0.6891906647193756,0.6882175182372949,0.6903251787366074,0.002690442444376257,5
21,1167.236899995804,132.0583085760886,3.6343538761138916,0.16204420512504347,1000,4,0.0003,0.4,"{'n_neurons': 1000, 'n_hidden': 4, 'learning_rate': 0.0003, 'dropout': 0.4}",0.6867134375032699,0.6940614005964485,0.6848868074606154,0.699285273486712,0.6853068701288102,0.6900507578351711,0.005686301007092367,6
8,1306.8090940475463,165.1773602038057,4.317249059677124,0.08797761420608809,2000,2,0.0003,0.4,"{'n_neurons': 2000, 'n_hidden': 2, 'learning_rate': 0.0003, 'dropout': 0.4}",0.6859098490353808,0.6834617728620136,0.6900249905375047,0.6926346751352307,0.6814714683728663,0.6867005511885992,0.0041164044027814884,7
3,2146.1306941986086,671.0706189084758,4.488230133056641,0.11113536415083208,2000,2,0.003,0.6,"{'n_neurons': 2000, 'n_hidden': 2, 'learning_rate': 0.003, 'dropout': 0.6}",0.6860224064093887,0.685327703608887,0.6878365279187977,0.6891368624901025,0.6849723466631626,0.6866591694180677,0.0015842206497300353,8
23,3613.08674864769,391.5569420340215,16.189262866973877,3.989885934120757,2000,4,3e-05,0.2,"{'n_neurons': 2000, 'n_hidden': 4, 'learning_rate': 3e-05, 'dropout': 0.2}",0.6821071626636817,0.6866165036484774,0.6850434704648635,0.6851502090042549,0.681696730152289,0.6841228151867133,0.0019010718045200186,9
14,129.03661403656005,25.042530614685717,0.7107099056243896,0.008242767714033022,2000,0,0.0003,0.6,"{'n_neurons': 2000, 'n_hidden': 0, 'learning_rate': 0.0003, 'dropout': 0.6}",0.6842134981863759,0.6820205449560149,0.6806958271161657,0.6924812902591897,0.677946141875793,0.6834714604787079,0.004940973481285309,10
4,99.27286443710327,16.101686382458894,0.707930612564087,0.009522817242397643,500,0,0.0003,0.6,"{'n_neurons': 500, 'n_hidden': 0, 'learning_rate': 0.0003, 'dropout': 0.6}",0.6846404865866846,0.6818581095633345,0.6803482216103225,0.6933455002523798,0.6768414591948847,0.6834067554415213,0.005570579664857635,11
13,104.5437343120575,26.09720582603337,0.7112333297729492,0.011335012681966475,100,0,0.0003,0.2,"{'n_neurons': 100, 'n_hidden': 0, 'learning_rate': 0.0003, 'dropout': 0.2}",0.6847420729534079,0.6805929726844254,0.6802930964726968,0.6929978735699429,0.6772005936744575,0.6831653218709861,0.005470097959327931,12
20,112.31247367858887,14.057947068403655,0.7060543060302734,0.014853353971026011,100,0,0.0003,0.4,"{'n_neurons': 100, 'n_hidden': 0, 'learning_rate': 0.0003, 'dropout': 0.4}",0.6843104043018164,0.6819321166163075,0.6793286203656845,0.6931852064685254,0.6768310938064398,0.6831174883117548,0.00562247951866603,13
24,45.880930233001706,14.897510025107355,0.7641073703765869,0.025707822257084054,500,0,0.003,0.2,"{'n_neurons': 500, 'n_hidden': 0, 'learning_rate': 0.003, 'dropout': 0.2}",0.6834966634257261,0.6820840400529486,0.6794766778620226,0.6930015951208011,0.677240092497615,0.6830598137918228,0.005416456535762472,14
7,360.73213996887205,29.250224188320633,1.895485258102417,0.22525092638098984,1000,2,0.003,0.2,"{'n_neurons': 1000, 'n_hidden': 2, 'learning_rate': 0.003, 'dropout': 0.2}",0.6832423193517321,0.6860871766693019,0.6852391255065045,0.6969363160560365,0.6627729317124591,0.6828555738592068,0.011116240044740348,15
15,114.47805342674255,20.651418705612024,0.7070929527282714,0.010590053456382973,200,0,0.0003,0.4,"{'n_neurons': 200, 'n_hidden': 0, 'learning_rate': 0.0003, 'dropout': 0.4}",0.6838632089610831,0.6812530640730473,0.6803769868122284,0.6920119296894697,0.6766354719728579,0.6828281323017372,0.005142985791041774,16
17,39.15280995368958,7.31825237367804,0.699896764755249,0.012204643939383558,100,0,0.003,0.8,"{'n_neurons': 100, 'n_hidden': 0, 'learning_rate': 0.003, 'dropout': 0.8}",0.6829813019156429,0.6813066867588249,0.6797883914513349,0.6927998122771399,0.6771237667901203,0.6827999918386125,0.00535814351995025,17
2,1185.0703840255737,118.44107052041909,5.141501808166504,0.24674364273108565,2000,2,3e-05,0.2,"{'n_neurons': 2000, 'n_hidden': 2, 'learning_rate': 3e-05, 'dropout': 0.2}",0.6833232449894084,0.6797224800368766,0.6765822161673655,0.6913353642079721,0.677823548093087,0.6817573706989419,0.0053026009972307235,18
12,434.3131115436554,1.8547516703403237,0.7045949935913086,0.011277775958979736,1000,0,3e-05,0.4,"{'n_neurons': 1000, 'n_hidden': 0, 'learning_rate': 3e-05, 'dropout': 0.4}",0.6786543651155497,0.6815806011300343,0.6769850893451269,0.6924461937197566,0.6749078620078448,0.6809148222636624,0.006165254706851591,19
16,431.5160325050354,9.61229039157568,0.7221179485321045,0.03644411311200532,1000,0,3e-05,0.2,"{'n_neurons': 1000, 'n_hidden': 0, 'learning_rate': 3e-05, 'dropout': 0.2}",0.6803592133789557,0.6815261947765829,0.6780438607950235,0.6902635130446501,0.6729058134597663,0.6806197190909957,0.005657414767604509,20
19,198.6613537311554,11.945531957827857,1.18827166557312,0.0450022489692676,500,2,3e-05,0.6,"{'n_neurons': 500, 'n_hidden': 2, 'learning_rate': 3e-05, 'dropout': 0.6}",0.6747394861803035,0.6786961005759453,0.6687242382628891,0.6781063905207078,0.6695082815293047,0.67395489941383,0.004182383768885793,21
22,105.76736164093018,7.5947700702859295,0.9879186630249024,0.08602165535773412,200,2,3e-05,0.4,"{'n_neurons': 200, 'n_hidden': 2, 'learning_rate': 3e-05, 'dropout': 0.4}",0.6768193595978358,0.6764933008213936,0.6606820882357113,0.6809223491646978,0.6644424195255119,0.67187190346903,0.007850533734058203,22
10,2549.7516092300416,61.18602029765456,13.20871205329895,0.6103608203485595,2000,4,3e-05,0.8,"{'n_neurons': 2000, 'n_hidden': 4, 'learning_rate': 3e-05, 'dropout': 0.8}",0.6327515638623669,0.6350389743155712,0.6108915192167227,0.6273500102378261,0.6209391827023266,0.6253942500669626,0.008731009074552905,23
18,907.9785796642303,22.468950778402426,3.7119999885559083,0.125509372768463,1000,4,3e-05,0.8,"{'n_neurons': 1000, 'n_hidden': 4, 'learning_rate': 3e-05, 'dropout': 0.8}",0.6143735873382226,0.6212696180167756,0.5927974589128866,0.6174319169425347,0.5996419545193528,0.6091029071459545,0.010959549205865289,24
9,99.41222515106202,4.914140854675978,1.0669101238250733,0.0211701457260993,100,4,3e-05,0.8,"{'n_neurons': 100, 'n_hidden': 4, 'learning_rate': 3e-05, 'dropout': 0.8}",0.5827118119790373,0.5419194647971346,0.5202137412180168,0.5137702545628038,0.5413438261213868,0.5399918197356758,0.024121709491612315,25
